country,study_start,study_end,study_length_mo,region,population,study_design,age_min,age_max,age_mid,k,n,seroprev,used_webplotdigitizer,sex,method,data_quality
croatia,01/10/1994,01/05/1995,7,County of Split Dalmatia,-,cross_sectional,21,25,23,58,172,0.337,n,female,IgG ELISA,good
croatia,01/10/1994,01/05/1995,7,County of Split Dalmatia,-,cross_sectional,26,30,28,56,199,0.281,n,female,IgG ELISA,good
croatia,01/10/1994,01/05/1995,7,County of Split Dalmatia,-,cross_sectional,31,35,33,55,129,0.426,n,female,IgG ELISA,good
croatia,01/10/1994,01/05/1995,7,County of Split Dalmatia,-,cross_sectional,36,40,38,31,85,0.365,n,female,IgG ELISA,good
croatia,01/10/1994,01/05/1995,7,County of Split Dalmatia,-,cross_sectional,41,45,43,20,48,0.417,n,female,IgG ELISA,good
croatia,01/10/1994,01/05/1995,7,County of Split Dalmatia,-,cross_sectional,46,50,48,22,40,0.550,n,female,IgG ELISA,good
croatia,01/10/1994,01/05/1995,7,County of Split Dalmatia,-,cross_sectional,51,55,53,19,30,0.633,n,female,IgG ELISA,good
croatia,01/10/1994,01/05/1995,7,County of Split Dalmatia,-,cross_sectional,56,60,58,14,20,0.700,n,female,IgG ELISA,good
croatia,01/10/1994,01/05/1995,7,County of Split Dalmatia,-,cross_sectional,61,84,72.5,44,61,0.721,n,female,IgG ELISA,good
germany,01/01/2008,01/01/2011,36,country-wide,-,cross_sectional,18,29,23.5,214,994,0.215,n,both,IgG ELFA,good
germany,01/01/2008,01/01/2011,36,country-wide,-,cross_sectional,30,39,34.5,301,790,0.381,n,both,IgG ELFA,good
germany,01/01/2008,01/01/2011,36,country-wide,-,cross_sectional,40,49,44.5,628,1212,0.518,n,both,IgG ELFA,good
germany,01/01/2008,01/01/2011,36,country-wide,-,cross_sectional,50,59,54.5,796,1298,0.613,n,both,IgG ELFA,good
germany,01/01/2008,01/01/2011,36,country-wide,-,cross_sectional,60,69,64.5,903,1267,0.713,n,both,IgG ELFA,good
germany,01/01/2008,01/01/2011,36,country-wide,-,cross_sectional,70,79,74.5,760,1003,0.758,n,both,IgG ELFA,good
romania,01/01/2007,01/12/2007,12,-,-,-,1,4,2.5,1,35,0.029,,,IgG ELISA,waiting
romania,01/01/2007,01/12/2007,12,-,-,-,5,9,7,5,33,0.152,,,IgG ELISA,waiting
romania,01/01/2007,01/12/2007,12,-,-,-,10,14,12,10,31,0.323,,,IgG ELISA,waiting
romania,01/01/2007,01/12/2007,12,-,-,-,15,19,17,26,60,0.433,,,IgG ELISA,waiting
romania,01/01/2007,01/12/2007,12,-,-,-,20,29,24.5,59,120,0.492,,,IgG ELISA,waiting
romania,01/01/2007,01/12/2007,12,-,-,-,30,39,34.5,68,122,0.557,,,IgG ELISA,waiting
romania,01/01/2007,01/12/2007,12,-,-,-,40,49,44.5,52,82,0.634,,,IgG ELISA,waiting
romania,01/01/2007,01/12/2007,12,-,-,-,50,59,54.5,51,69,0.739,,,IgG ELISA,waiting
romania,01/01/2007,01/12/2007,12,-,-,-,60,69,64.5,51,69,0.739,,,IgG ELISA,waiting
romania,01/01/2007,01/12/2007,12,-,-,-,70,86,78,37,47,0.787,,,IgG ELISA,waiting
slovakia,01/01/2003,01/10/2003,9,Bratislava,-,-,3,18,10.5,10,72,0.139,n,both,"IgG, IgM and IgA ELISA",poor
slovakia,01/01/2003,01/10/2003,9,Bratislava,-,-,19,29,24,35,169,0.207,n,both,"IgG, IgM and IgA ELISA",poor
slovakia,01/01/2003,01/10/2003,9,Bratislava,-,-,30,39,34.5,10,79,0.127,n,both,"IgG, IgM and IgA ELISA",poor
slovakia,01/01/2003,01/10/2003,9,Bratislava,-,-,40,49,44.5,38,111,0.342,n,both,"IgG, IgM and IgA ELISA",poor
slovakia,01/01/2003,01/10/2003,9,Bratislava,-,-,50,58,54,30,77,0.390,n,both,"IgG, IgM and IgA ELISA",poor
netherlands,01/10/1995,01/12/1996,14,whole country,-,cross_sectional,0,<1,0.5,-,-,0.133,y,both,IgG sandwich ELISA,waiting
netherlands,01/10/1995,01/12/1996,14,whole country,-,cross_sectional,1,4,2.5,-,-,0.151,y,both,IgG sandwich ELISA,waiting
netherlands,01/10/1995,01/12/1996,14,whole country,-,cross_sectional,5,9,7,-,-,0.128,y,both,IgG sandwich ELISA,waiting
netherlands,01/10/1995,01/12/1996,14,whole country,-,cross_sectional,10,14,12,-,-,0.161,y,both,IgG sandwich ELISA,waiting
netherlands,01/10/1995,01/12/1996,14,whole country,-,cross_sectional,15,19,17,-,-,0.156,y,both,IgG sandwich ELISA,waiting
netherlands,01/10/1995,01/12/1996,14,whole country,-,cross_sectional,20,24,22,-,-,0.206,y,both,IgG sandwich ELISA,waiting
netherlands,01/10/1995,01/12/1996,14,whole country,-,cross_sectional,25,29,27,-,-,0.229,y,both,IgG sandwich ELISA,waiting
netherlands,01/10/1995,01/12/1996,14,whole country,-,cross_sectional,30,34,32,-,-,0.358,y,both,IgG sandwich ELISA,waiting
netherlands,01/10/1995,01/12/1996,14,whole country,-,cross_sectional,35,39,37,-,-,0.431,y,both,IgG sandwich ELISA,waiting
netherlands,01/10/1995,01/12/1996,14,whole country,-,cross_sectional,40,44,42,-,-,0.468,y,both,IgG sandwich ELISA,waiting
netherlands,01/10/1995,01/12/1996,14,whole country,-,cross_sectional,45,49,47,-,-,0.578,y,both,IgG sandwich ELISA,waiting
netherlands,01/10/1995,01/12/1996,14,whole country,-,cross_sectional,50,54,52,-,-,0.606,y,both,IgG sandwich ELISA,waiting
netherlands,01/10/1995,01/12/1996,14,whole country,-,cross_sectional,55,59,57,-,-,0.642,y,both,IgG sandwich ELISA,waiting
netherlands,01/10/1995,01/12/1996,14,whole country,-,cross_sectional,60,64,62,-,-,0.725,y,both,IgG sandwich ELISA,waiting
netherlands,01/10/1995,01/12/1996,14,whole country,-,cross_sectional,65,69,67,-,-,0.688,y,both,IgG sandwich ELISA,waiting
netherlands,01/10/1995,01/12/1996,14,whole country,-,cross_sectional,70,74,72,-,-,0.711,y,both,IgG sandwich ELISA,waiting
netherlands,01/10/1995,01/12/1996,14,whole country,-,cross_sectional,75,79,77,-,-,0.757,y,both,IgG sandwich ELISA,waiting
france,01/03/2004,01/12/2004,9,2 villages: Barisey-la-C™te and Barisey-au-Plain,-,cross_sectional,7,19,13,2,30,0.066666667,y,both,IgG ELISA,satisfactory
france,01/03/2004,01/12/2004,9,2 villages: Barisey-la-C™te and Barisey-au-Plain,-,cross_sectional,20,29,24.5,19,43,0.441860465,y,both,IgG ELISA,satisfactory
france,01/03/2004,01/12/2004,9,2 villages: Barisey-la-C™te and Barisey-au-Plain,-,cross_sectional,30,39,34.5,18,43,0.418604651,y,both,IgG ELISA,satisfactory
france,01/03/2004,01/12/2004,9,2 villages: Barisey-la-C™te and Barisey-au-Plain,-,cross_sectional,40,49,44.5,24,45,0.533333333,y,both,IgG ELISA,satisfactory
france,01/03/2004,01/12/2004,9,2 villages: Barisey-la-C™te and Barisey-au-Plain,-,cross_sectional,50,59,54.5,26,44,0.590909091,y,both,IgG ELISA,satisfactory
france,01/03/2004,01/12/2004,9,2 villages: Barisey-la-C™te and Barisey-au-Plain,-,cross_sectional,60,69,64.5,20,34,0.588235294,y,both,IgG ELISA,satisfactory
france,01/03/2004,01/12/2004,9,2 villages: Barisey-la-C™te and Barisey-au-Plain,-,cross_sectional,70,?,?,23,34,0.676470588,y,both,IgG ELISA,satisfactory
usa,01/01/2009,31/12/2010,24,whole country,US-born citizens,cross_sectional,6,11,8.5,9,618,0.015,n,both,IgG EIA,good
usa,01/01/2009,31/12/2010,24,whole country,US-born citizens,cross_sectional,12,19,15.5,30,936,0.032,n,both,IgG EIA,good
usa,01/01/2009,31/12/2010,24,whole country,US-born citizens,cross_sectional,20,29,24.5,36,661,0.054,n,both,IgG EIA,good
usa,01/01/2009,31/12/2010,24,whole country,US-born citizens,cross_sectional,30,39,34.5,40,623,0.064,n,both,IgG EIA,good
usa,01/01/2009,31/12/2010,24,whole country,US-born citizens,cross_sectional,40,49,44.5,69,632,0.109,n,both,IgG EIA,good
usa,01/01/2009,31/12/2010,24,whole country,US-born citizens,cross_sectional,50,59,54.5,67,578,0.116,n,both,IgG EIA,good
usa,01/01/2009,31/12/2010,24,whole country,US-born citizens,cross_sectional,60,69,64.5,91,593,0.153,n,both,IgG EIA,good
usa,01/01/2009,31/12/2010,24,whole country,US-born citizens,cross_sectional,70,?,?,210,760,0.276,n,both,IgG EIA,good
usa,01/01/2009,31/12/2010,24,whole country,US-born and non-US-born,cross_sectional,6,11,8.5,10,664,0.015,n,both,IgG EIA,good
usa,01/01/2009,31/12/2010,24,whole country,US-born and non-US-born,cross_sectional,12,19,15.5,44,1082,0.041,n,both,IgG EIA,good
usa,01/01/2009,31/12/2010,24,whole country,US-born and non-US-born,cross_sectional,20,29,24.5,83,893,0.093,n,both,IgG EIA,good
usa,01/01/2009,31/12/2010,24,whole country,US-born and non-US-born,cross_sectional,30,39,34.5,92,878,0.105,n,both,IgG EIA,good
usa,01/01/2009,31/12/2010,24,whole country,US-born and non-US-born,cross_sectional,40,49,44.5,142,957,0.148,n,both,IgG EIA,good
usa,01/01/2009,31/12/2010,24,whole country,US-born and non-US-born,cross_sectional,50,59,54.5,123,818,0.150,n,both,IgG EIA,good
usa,01/01/2009,31/12/2010,24,whole country,US-born and non-US-born,cross_sectional,60,69,64.5,149,854,0.174,n,both,IgG EIA,good
usa,01/01/2009,31/12/2010,24,whole country,US-born and non-US-born,cross_sectional,70,?,?,276,924,0.299,n,both,IgG EIA,good
