Proteins, Eliot EXO, Clov EXO, Tato EXO, Samo EXO, Flash EXO, Gus 2 EXO,Fritz 2 EXO,Tessa 2 EXO,Fritz 1 EXO,Tessa 1 EXO,Gus 1 EXO
3-hydroxy-3-methylglutaryl coenzyme A reductase OS=Leishmania infantum OX=5671 GN=HMGR PE=3 SV=1,0,0,0,0,0,0,2,0,0,2,0
3-hydroxy-3-methylglutaryl-CoA_synthase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_240027300 PE=4 SV=1,3,0,2,0,29,19,14,0,13,8,28
3-hydroxyacyl-ACP_dehydratase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_070009700 PE=4 SV=1,0,0,0,0,5,5,2,0,3,2,3
"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial OS=Leishmania infantum OX=5671 GN=LINF_320043700 PE=3 SV=1",0,0,0,0,0,0,0,0,0,0,0
"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial OS=Leishmania infantum OX=5671 GN=LINF_320043900 PE=3 SV=1",6,9,5,7,5,8,2,8,21,0,7
3-ketoacyl-CoA_reductase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_330024300 PE=4 SV=1,2,2,0,0,7,14,8,10,3,11,13
3-ketoacyl-CoA_thiolase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_230014600 PE=3 SV=1,3,0,0,0,9,2,12,0,2,4,3
3-keto-dihydrosphingosine_reductase OS=Leishmania infantum OX=5671 GN=LINF_350008400 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
3-mercaptopyruvate sulfurtransferase OS=Leishmania infantum OX=5671 GN=MST PE=4 SV=1,2,0,0,0,2,7,0,0,0,0,2
3-methylcrotonoyl-CoA_carboxylase_beta_subunit_-_putative OS=Leishmania infantum OX=5671 GN=LINF_110011600 PE=4 SV=1,0,0,0,0,13,3,0,0,3,0,0
3'-nucleotidase/nuclease_-_putative OS=Leishmania infantum OX=5671 GN=LINF_120009100 PE=3 SV=1,11,0,5,7,18,19,16,0,4,10,5
3'-nucleotidase/nuclease_precursor_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310031300 PE=3 SV=1,10,0,0,0,18,32,16,3,4,9,7
3-oxoacyl-(Acyl-carrier_protein)_reductase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_240026500 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
3-oxoacyl-acyl_carrier_protein_synthase_ii_-_putative OS=Leishmania infantum OX=5671 GN=LINF_330036500 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
40S ribosomal protein S12 OS=Leishmania infantum OX=5671 GN=LINF_130010600 PE=3 SV=1,15,5,4,3,11,15,7,0,0,6,5
40S ribosomal protein S14 OS=Leishmania infantum OX=5671 GN=LINF_280015200 PE=3 SV=1,12,19,40,30,28,16,28,14,9,38,13
40S ribosomal protein S14 OS=Leishmania infantum OX=5671 GN=LINF_300041700 PE=3 SV=1,0,0,39,0,28,17,28,0,0,35,15
40S ribosomal protein S2 OS=Leishmania infantum OX=5671 GN=LINF_320009600 PE=3 SV=1,77,121,155,121,112,65,102,46,86,66,42
40S ribosomal protein S24 OS=Leishmania infantum OX=5671 GN=S24E-1 PE=3 SV=1,34,40,70,48,42,31,44,26,40,43,28
40S ribosomal protein S25 OS=Leishmania infantum OX=5671 GN=RPS25 PE=2 SV=1,9,17,15,18,10,9,12,9,13,9,6
40S ribosomal protein S26 OS=Leishmania infantum OX=5671 GN=LINF_280010400 PE=3 SV=1,26,32,39,40,25,26,40,25,33,64,17
40S ribosomal protein S3a-1 OS=Leishmania infantum OX=5671 GN=LinJ35.0500 PE=3 SV=1,90,136,148,135,93,73,112,97,115,131,63
40S ribosomal protein S5 OS=Leishmania infantum OX=5671 GN=LINF_110015600 PE=1 SV=1,58,84,144,94,72,60,83,31,65,147,47
40S ribosomal protein S6 OS=Leishmania infantum OX=5671 GN=RPS6 PE=3 SV=1,74,121,109,105,75,59,73,77,94,103,57
40S ribosomal protein S7 OS=Leishmania infantum OX=5671 GN=LINF_010009200 PE=3 SV=1,74,182,227,155,91,69,118,66,189,141,62
40S ribosomal protein S8 OS=Leishmania infantum OX=5671 GN=LINF_240026900 PE=3 SV=1,51,105,86,69,55,49,61,72,102,61,41
40S ribosomal protein SA OS=Leishmania infantum OX=5671 GN=LinJ36.5570 PE=1 SV=1,40,41,72,50,48,41,43,27,41,43,25
40S_ribosomal_protein_S10_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360015600 PE=4 SV=1,9,49,42,33,15,10,23,12,12,20,6
40S_ribosomal_protein_S11_-_putative OS=Leishmania infantum OX=5671 GN=LINF_200021000 PE=3 SV=1,36,43,47,46,41,28,40,33,40,40,30
40S_ribosomal_protein_S13_-_putative OS=Leishmania infantum OX=5671 GN=LINF_190008800 PE=3 SV=1,46,122,85,99,42,44,92,64,68,105,35
40S_ribosomal_protein_S15_-_putative OS=Leishmania infantum OX=5671 GN=LINF_220009800 PE=3 SV=1,10,11,12,14,13,11,10,0,13,5,0
40S_ribosomal_protein_S15A_-_putative OS=Leishmania infantum OX=5671 GN=LINF_110017900 PE=3 SV=1,29,47,34,40,46,29,33,10,23,24,17
40S_ribosomal_protein_S16_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260013700 PE=3 SV=1,50,77,82,83,55,46,47,29,55,50,37
40S_ribosomal_protein_S17_-_putative OS=Leishmania infantum OX=5671 GN=LINF_280032800 PE=3 SV=1,41,86,117,75,45,44,77,24,90,94,27
40S_ribosomal_protein_S18_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360015100 PE=3 SV=1,30,61,67,77,29,27,35,21,31,32,17
40S_ribosomal_protein_S21_-_putative OS=Leishmania infantum OX=5671 GN=LINF_110013300 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
40S_ribosomal_protein_S23_-_putative OS=Leishmania infantum OX=5671 GN=LINF_210018200 PE=3 SV=1,40,33,81,25,57,25,51,17,37,36,16
40S_ribosomal_protein_S27-1_-_putative OS=Leishmania infantum OX=5671 GN=LINF_180011200 PE=3 SV=1,8,19,23,17,19,9,15,10,15,20,9
40S_ribosomal_protein_S3_-_putative OS=Leishmania infantum OX=5671 GN=LINF_150017600 PE=3 SV=1,97,182,144,157,100,80,95,79,213,110,69
40S_ribosomal_protein_S33_-_putative OS=Leishmania infantum OX=5671 GN=s33 PE=2 SV=1,0,0,0,0,5,0,0,0,0,5,0
40S_ribosomal_protein_S9_-_putative OS=Leishmania infantum OX=5671 GN=LINF_070012400 PE=3 SV=1,69,159,93,90,68,69,93,71,103,86,54
4-coumarate:coa ligase-like protein OS=Leishmania infantum OX=5671 GN=LINF_190015300 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
4-coumarate:coa ligase-like protein OS=Leishmania infantum OX=5671 GN=LINJ_19_0950 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
4-methyl-5(Beta-hydroxyethyl )-thiazole_monophosphate_synthesis_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300012900 PE=4 SV=1,0,0,0,0,3,5,0,0,0,0,0
50S_ribosome-binding_GTPase/Dynamin_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_220010300 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
50S_ribosome-binding_GTPase/Miro-like_protein /Ras_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320039600 PE=4 SV=1,6,0,0,0,0,0,0,0,0,4,0
5'-3'_exoribonuclease_A_-_putative OS=Leishmania infantum OX=5671 GN=LINF_060007900 PE=4 SV=2,0,0,0,0,0,0,2,0,7,0,0
5'-AMP-activated_protein_kinase_catalytic_subunit_alpha_-_putative OS=Leishmania infantum OX=5671 GN=LINF_290027900 PE=4 SV=1,3,5,8,7,0,0,0,0,10,0,0
5-histidylcysteine_sulfoxide_synthase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_290015200 PE=4 SV=1,19,6,18,9,30,16,26,0,26,15,5
5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase OS=Leishmania infantum OX=5671 GN=LINF_310005000 PE=3 SV=1,14,30,29,20,14,5,0,0,29,4,0
5-oxoprolinase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_180015800 PE=3 SV=1,0,0,0,0,0,2,0,0,4,0,0
60S acidic ribosomal protein P0 OS=Leishmania infantum OX=5671 GN=LINF_270020500 PE=3 SV=1,6,15,15,14,5,4,8,0,5,5,0
60S acidic ribosomal protein P2 OS=Leishmania infantum OX=5671 GN=LINF_150019500 PE=3 SV=1,2,0,8,4,6,0,2,0,4,4,0
60S ribosomal export protein NMD3 OS=Leishmania infantum OX=5671 GN=LINF_260014600 PE=3 SV=1,6,10,20,19,5,0,5,0,14,0,0
"60S ribosomal protein L11 (L5, L16) OS=Leishmania infantum OX=5671 GN=RPL11 PE=3 SV=1",46,81,72,73,45,38,57,27,72,55,40
60S ribosomal protein L18a OS=Leishmania infantum OX=5671 GN=LINF_320014400 PE=3 SV=1,65,106,146,128,77,71,81,45,191,101,61
60S ribosomal protein L27 OS=Leishmania infantum OX=5671 GN=LINF_320033900 PE=3 SV=1,52,68,84,77,45,50,56,56,65,84,34
60S ribosomal protein L29 OS=Leishmania infantum OX=5671 GN=LINF_360042500 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
60S ribosomal protein L30 OS=Leishmania infantum OX=5671 GN=LINF_350007500 PE=3 SV=1,17,27,31,23,34,12,21,15,21,25,13
60S ribosomal protein L32 OS=Leishmania infantum OX=5671 GN=LINF_350025500 PE=3 SV=1,41,42,58,27,44,33,57,19,30,29,10
60S ribosomal protein L32 OS=Leishmania infantum OX=5671 GN=RPL32 PE=3 SV=1,39,41,41,25,40,33,52,19,26,35,9
60S ribosomal protein L37 OS=Leishmania infantum OX=5671 GN=LINF_350056500 PE=3 SV=1,9,23,29,40,12,12,12,0,32,22,12
60S ribosomal protein L37a OS=Leishmania infantum OX=5671 GN=LINF_210028000 PE=3 SV=1,0,13,19,0,16,11,15,0,0,9,10
60S ribosomal protein L40 OS=Leishmania infantum OX=5671 GN=LINF_360011600 PE=3 SV=1,0,0,11,0,6,0,11,0,0,0,0
60S ribosomal protein L6 OS=Leishmania infantum OX=5671 GN=LINF_150018200 PE=3 SV=1,46,112,84,78,50,44,67,70,68,94,33
60S ribosomal protein L7a OS=Leishmania infantum OX=5671 GN=LINJ_07_0560 PE=3 SV=1,51,93,136,98,68,57,78,71,98,97,41
60S_acidic_ribosomal_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_150009100 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
60S_acidic_ribosomal_protein_P2_-_putative OS=Leishmania infantum OX=5671 GN=LINF_030009100 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
60S_acidic_ribosomal_protein_P2_-_putative OS=Leishmania infantum OX=5671 GN=LIP1 PE=3 SV=1,0,0,6,3,3,2,0,0,0,0,0
60S_ribosomal_protein_L10_-_putative OS=Leishmania infantum OX=5671 GN=LINF_040012600 PE=4 SV=1,67,93,93,93,77,56,84,53,107,98,61
60S_ribosomal_protein_L10a_-_putative OS=Leishmania infantum OX=5671 GN=RPL10a PE=3 SV=1,31,34,59,54,42,25,61,20,48,56,16
60S_ribosomal_protein_L12_-_putative OS=Leishmania infantum OX=5671 GN=LINF_240028300 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
60S_ribosomal_protein_L13_-_putative OS=Leishmania infantum OX=5671 GN=LINF_290032300 PE=3 SV=1,74,104,181,103,79,71,123,72,72,120,47
60S_ribosomal_protein_L13a_-_putative OS=Leishmania infantum OX=5671 GN=LINF_150007100 PE=3 SV=1,71,98,123,104,81,64,97,58,113,107,57
60S_ribosomal_protein_L17_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320009400 PE=3 SV=1,25,59,92,104,27,36,70,41,76,165,26
60S_ribosomal_protein_L18_-_putative OS=Leishmania infantum OX=5671 GN=RPL18 PE=3 SV=1,54,100,125,83,72,49,68,63,86,98,40
60S_ribosomal_protein_L2_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320046200 PE=4 SV=1,49,149,85,66,79,62,108,43,68,88,44
60S_ribosomal_protein_L22_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360041100 PE=3 SV=1,8,17,19,19,5,2,15,7,7,25,2
60S_ribosomal_protein_L23_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350043300 PE=3 SV=1,33,43,42,56,35,23,47,29,23,56,24
60S_ribosomal_protein_L23a_-_putative OS=Leishmania infantum OX=5671 GN=LINF_060011300 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
60S_ribosomal_protein_L23a_-_putative OS=Leishmania infantum OX=5671 GN=LINF_060011400 PE=3 SV=1,26,73,76,56,31,22,50,26,52,35,19
60S_ribosomal_protein_L26_-_putative OS=Leishmania infantum OX=5671 GN=LINF_240026700 PE=3 SV=1,25,36,72,72,32,27,41,50,38,60,24
60S_ribosomal_protein_L27A/L29_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350043000 PE=3 SV=1,24,127,57,51,25,23,33,34,52,44,18
60S_ribosomal_protein_L28_-_putative OS=Leishmania infantum OX=5671 GN=LINF_110017300 PE=3 SV=1,24,61,49,44,58,34,84,28,35,50,22
60S_ribosomal_protein_L34_-_putative OS=Leishmania infantum OX=5671 GN=LINF_180019400 PE=3 SV=1,14,30,37,21,22,20,27,24,24,19,16
60S_ribosomal_protein_L35_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260028800 PE=3 SV=1,18,11,91,30,18,28,40,0,11,44,22
60S_ribosomal_protein_L36_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350024100 PE=3 SV=1,17,31,27,28,16,17,13,20,21,17,14
60S_ribosomal_protein_L44_-_putative OS=Leishmania infantum OX=5671 GN=LINF_130022200 PE=3 SV=1,7,63,29,19,18,7,22,5,33,18,7
60S_ribosomal_protein_L5_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350023700 PE=3 SV=1,62,317,164,125,59,58,110,112,149,124,37
60S_ribosomal_protein_L7_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260006700 PE=3 SV=1,58,186,140,121,86,75,132,72,104,134,66
60S_ribosomal_protein_L9_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300039100 PE=3 SV=2,49,101,87,96,62,41,60,45,53,79,41
"6-phosphogluconate dehydrogenase, decarboxylating OS=Leishmania infantum OX=5671 GN=gnd PE=3 SV=1",22,0,5,4,25,31,17,0,18,13,17
6-phosphogluconolactonase OS=Leishmania infantum OX=5671 GN=LINF_260032900 PE=3 SV=1,5,0,0,0,5,7,0,0,0,0,2
AAA_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300017800 PE=4 SV=1,18,0,0,0,0,33,0,8,2,12,3
ABC_transport_system_ATP-binding_protein_-_putative OS=Leishmania infantum OX=5671 GN=putative ABCF2 PE=4 SV=1,8,0,10,16,7,6,4,0,0,5,0
ABC_transporter_-_mitochondrial_-_putative OS=Leishmania infantum OX=5671 GN=putative ABCB1 PE=4 SV=1,0,0,0,0,0,3,0,0,0,0,0
ABC1_family/Phosphotransferase_enzyme_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360070800 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
ABC1_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_080007300 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Acetoin dehydrogenase e3 component-like protein OS=Leishmania infantum OX=5671 GN=LINF_310034600 PE=3 SV=1,0,0,0,0,3,2,6,0,2,0,2
Acetyl-CoA carboxylase OS=Leishmania infantum OX=5671 GN=LINF_310038500 PE=4 SV=1,49,44,101,67,64,29,101,0,140,29,26
Acetyl-coenzyme A synthetase OS=Leishmania infantum OX=5671 GN=LINF_230014800 PE=3 SV=1,83,45,32,68,50,61,55,8,41,65,39
Acetylornithine deacetylase OS=Leishmania infantum OX=5671 GN=LINF_070007900 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Acetyltransferase_(GNAT)_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_220010000 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Acetyltransferase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_030006100 PE=4 SV=1,2,0,0,4,2,0,0,0,0,0,0
Acetyltransferase-like protein OS=Leishmania infantum OX=5671 GN=LINF_360035400 PE=4 SV=1,3,0,0,4,0,3,2,0,0,3,3
Acid_Phosphatase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_330030500 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Acidocalcisomal_exopolyphosphatase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_010008000 PE=4 SV=1,2,0,0,0,0,2,0,0,0,0,3
Aconitate hydratase OS=Leishmania infantum OX=5671 GN=LINF_180010100 PE=3 SV=1,39,8,13,17,66,34,17,0,43,18,20
Actin interacting protein-like protein OS=Leishmania infantum OX=5671 GN=LINF_230015900 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Actin OS=Leishmania infantum OX=5671 GN=ACT PE=3 SV=1,22,13,16,24,29,38,31,15,27,40,25
Activator_of_Hsp90_ATPase_-_N-terminal/Activator_of_Hsp90_ATPase_homolog_1-like_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_180007100 PE=3 SV=1,10,4,3,3,10,5,2,0,17,9,0
Acyl_CoA_binding_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_170012700 PE=4 SV=1,12,0,0,0,4,9,3,0,6,9,5
Acyl_transferase-like_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350040100 PE=4 SV=2,0,0,0,0,0,0,0,0,0,0,0
Acyl-CoA_dehydrogenase_-_mitochondrial_precursor_-_putative OS=Leishmania infantum OX=5671 GN=LINF_070010000 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Acyl-CoA_dehydrogenase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_280032300 PE=3 SV=1,0,0,2,0,0,2,0,0,5,0,2
Acyl-CoA_dehydrogenase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350032600 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Acyl-CoA_oxidase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_270030200 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Acyl-coenzyme_a_dehydrogenase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_060014500 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
"Acyltransferase-like protein, copy 1 OS=Leishmania infantum OX=5671 GN=LINF_040015500 PE=4 SV=1",0,0,0,0,0,0,0,0,0,0,0
Adaptin-related protein-like protein OS=Leishmania infantum OX=5671 GN=LINF_110015900 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Adenine aminohydrolase OS=Leishmania infantum OX=5671 GN=AAH PE=3 SV=1,4,0,0,0,15,10,0,0,0,0,5
Adenine phosphoribosyltransferase OS=Leishmania infantum OX=5671 GN=APRT PE=4 SV=1,14,8,10,27,8,9,9,0,5,6,7
Adenosine kinase OS=Leishmania infantum OX=5671 GN=LINF_300014400 PE=3 SV=1,31,10,12,13,24,39,18,3,19,19,22
Adenosine kinase OS=Leishmania infantum OX=5671 GN=LINF_340043400 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Adenosylhomocysteinase OS=Leishmania infantum OX=5671 GN=LINF_360048000 PE=3 SV=1,68,19,27,25,55,81,46,19,56,45,69
Adenylate kinase 2 OS=Leishmania infantum OX=5671 GN=LINF_340006200 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Adenylate_kinase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_040014600 PE=3 SV=1,6,0,0,0,2,7,0,0,2,0,7
Adenylate_kinase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_210020600 PE=3 SV=1,11,2,5,4,9,9,2,2,3,2,3
Adenylate_kinase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340006100 PE=3 SV=1,10,2,3,0,9,17,6,9,0,15,12
Adenylosuccinate lyase OS=Leishmania infantum OX=5671 GN=LINF_040009600 PE=3 SV=1,6,0,0,0,0,5,0,0,0,0,0
Adenylosuccinate synthetase OS=Leishmania infantum OX=5671 GN=LinJ13.1120 PE=3 SV=1,6,0,21,26,7,6,10,0,27,4,0
Adenylyl_cyclase-associated_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360065600 PE=3 SV=1,8,0,0,0,2,4,0,0,4,3,5
ADF/Cofilin OS=Leishmania infantum OX=5671 GN=LINF_290010100 PE=3 SV=1,27,4,6,4,13,30,26,0,24,13,21
"ADP,ATP carrier protein 1, mitochondrial OS=Leishmania infantum OX=5671 GN=ANC2 PE=3 SV=1",51,21,36,22,47,73,48,24,12,55,42
ADP/ATP mitochondrial carrier-like protein OS=Leishmania infantum OX=5671 GN=LINF_140016000 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
ADP-ribosylation factor-like protein 1 OS=Leishmania infantum OX=5671 GN=ARL-1 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
ADP-ribosylation factor-like protein 6 OS=Leishmania infantum OX=5671 GN=LINF_160019600 PE=3 SV=1,0,3,0,0,2,0,0,5,4,4,5
ADP-ribosylation factor-like protein OS=Leishmania infantum OX=5671 GN=LINF_300029100 PE=3 SV=1,5,0,0,0,2,6,2,0,2,5,4
ADP-ribosylation_factor_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310031000 PE=3 SV=1,11,9,7,8,8,14,7,0,5,6,8
ADP-ribosylation_factor_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310036600 PE=3 SV=1,22,14,13,15,12,22,18,7,12,20,16
ADP-ribosylation_factor_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260027200 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
ADP-ribosylation_factor_GTPase_activating_protein_1_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320018000 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
ADP-ribosylation_factor-like_protein_3A_-_putative OS=Leishmania infantum OX=5671 GN=LINF_290014400 PE=3 SV=1,31,14,0,4,15,34,7,17,15,19,20
AGC_family_serine/threonine_kinase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_250030600 PE=3 SV=1,35,7,3,9,18,30,12,8,11,8,15
Agmatinase-like protein OS=Leishmania infantum OX=5671 GN=LINF_230005700 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
AhpC/TSA_family/Thioredoxin-like_-_putative OS=Leishmania infantum OX=5671 GN=LINF_140006800 PE=4 SV=1,15,0,4,0,16,18,15,2,13,13,11
AKAP7_NLS domain-containing protein OS=Leishmania infantum OX=5671 GN=LINJ_24_1080 PE=4 SV=1,0,0,0,0,0,0,0,0,2,0,0
Alanine aminotransferase OS=Leishmania infantum OX=5671 GN=ALAT PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Alanine--glyoxylate transaminase OS=Leishmania infantum OX=5671 GN=LINF_030005300 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Alanine--tRNA ligase OS=Leishmania infantum OX=5671 GN=LINF_220021600 PE=3 SV=1,23,20,16,19,16,19,16,0,16,13,9
